name,private,archived,default_branch,head_sha,license_spdx,language,disk_kb,file_count,rtl_files,firmware_files,software_files,test_files,relevance_score,tree_truncated,error
szl-lake,False,False,main,80777ac44059729bb1093699e9864e54865b3e99,,Python,2456,0,0,0,0,0,2,False,
szl-lambda-gate,False,False,main,b2060384e26f68e25ba5f280b6e778ab234fc189,,Python,117,0,0,0,0,0,2,False,
szl-ouroboros,False,False,main,2e529b1991d70424ba48ab613d7df2bd954fc619,,Python,43,0,0,0,0,0,2,False,
szl-quant-witness,False,False,main,40553f41a4b55e62bee0751ad7bb413855f204a1,,JavaScript,708,0,0,0,0,0,2,False,
szl-receipt,False,False,main,8e1b3e094312ba80809580b59856e7f3d90e0111,,Python,124,0,0,0,0,0,2,False,
szl-sovereign-os,False,False,main,76c63a59b346acfb8dd8cbe112e7ea1f2f0b2a59,,Python,43,0,0,0,0,0,2,False,
szl-trust,False,False,main,1e728d5aa27c68ff6dfb5b81e87ea790472fdf8c,,Python,177,0,0,0,0,0,2,False,
warhacker-demo,False,True,main,0c68abbc41f9327fdf4ffad88a474bcc01eb8e6b,,Shell,84,0,0,0,0,0,2,False,
.github,False,False,main,dccfa1e0f8dbff561e3dc818421ea22c7b3a9742,,HTML,11764,0,0,0,0,0,0,False,
cosmos,False,True,main,af6ff5ec87e25ee057271312823d40dd4f433c20,,JavaScript,218,0,0,0,0,0,0,False,
counsel,False,True,main,f2c3e3ccf053dd94bc2b4c5a3ba82544a4a5240f,,Python,32,0,0,0,0,0,0,False,
david-leads,False,True,main,fd40812540841d7b546422191d563b309e51492e,,Python,3562,0,0,0,0,0,0,False,
developers,False,True,main,dde99af0564c965edc6a253d4004734157460810,,HTML,141,0,0,0,0,0,0,False,
docs-site,False,True,main,83664f8b8924b36d3179bd94d133ca0815aaee91,,JavaScript,6078,0,0,0,0,0,0,False,
evidence-typed-formula-governance,False,True,main,775ee23b5d4cf6a0e238ac330ce4deb41fe89a7b,,,6,0,0,0,0,0,0,False,
fail-closed-governed-ai-services,False,True,main,40d1b710ac89cecbeee21f97110c761f8b83b950,,,3,0,0,0,0,0,0,False,
governed-norm-holo,False,True,main,05b87ab4d00e2e0685664785a13eaaf46740f51d,,Python,224,0,0,0,0,0,0,False,
holographic-unify,False,True,main,a39a6c5c754ec6d6fe0b51e85f3809c444a54cf2,,TypeScript,127,0,0,0,0,0,0,False,
immune-lattice,False,True,main,bcee352e584feab4bac16f4f1677a799effc1e50,,TypeScript,602,0,0,0,0,0,0,False,
killinchu,False,False,main,5ed9288428049f2e36faf202bebfba7776301675,,Python,14304,0,0,0,0,0,0,False,
lambda-gate-holo,False,True,main,0303c8ae0d81b4912f01dc59a6a47d5447c32768,,Python,131,0,0,0,0,0,0,False,
lyte-lattice,False,False,main,0706d5746e3cd9ef94ce3968d45fed77a57b2b1c,,TypeScript,606,0,0,0,0,0,0,False,
nexus,False,False,main,f7b6814955311290ec67e63987cc063240115444,,TypeScript,916,0,0,0,0,0,0,False,
pitch-collateral,True,False,main,361dee83fe29b39c3ac29739514f375acac5b8ee,,,147,0,0,0,0,0,0,False,
puriq-live,False,False,main,ef677981d5baa9e4ecb0bbe445df65c3b5c7054e,,Python,30,0,0,0,0,0,0,False,
szl-atelier,False,False,main,92804131f4341fd4ea35cf99209f83dfee6a1afd,,Python,304,0,0,0,0,0,0,False,
szl-brand,False,False,main,ba32296a76b92e72eac2aa193fac131e70d1dea2,,Python,13925,0,0,0,0,0,0,False,
